sample_id	cram_file_gcp	cram_index_gcp	cram_file_aws	cram_index_aws	cram_file_md5	cram_file_size	cram_index_md5
GTEX-11P7K-0002-SM-6WBUI	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P7K-0002-SM-6WBUI.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P7K-0002-SM-6WBUI.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P7K-0002-SM-6WBUI.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P7K-0002-SM-6WBUI.crai	82c64b077991d3352236fef2928c1c79	47255109076	2657e755d6ed5b46b73f02d74837361f
GTEX-11P81-0002-SM-6WBTV	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P81-0002-SM-6WBTV.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P81-0002-SM-6WBTV.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P81-0002-SM-6WBTV.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P81-0002-SM-6WBTV.crai	03fc22023eb8a021a46fc0b2dc7a8265	75147975438	55c716f1fe5807509181ce82ad9781c5
GTEX-11P82-0003-SM-6WBSX	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P82-0003-SM-6WBSX.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11P82-0003-SM-6WBSX.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P82-0003-SM-6WBSX.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11P82-0003-SM-6WBSX.crai	9a3a57ffc3f7cf9a8d224576a7b5e3e1	53160158678	d7ab1af22668114f0df471d732019fc5
GTEX-11PRG-0004-SM-6WBUN	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11PRG-0004-SM-6WBUN.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11PRG-0004-SM-6WBUN.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11PRG-0004-SM-6WBUN.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11PRG-0004-SM-6WBUN.crai	7aa4a8ecbb8fc81ae0ea0306791985f5	53214566568	803281b0c72eae9fc351a706b138de4c
GTEX-11TT1-0001-SM-6WBTZ	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TT1-0001-SM-6WBTZ.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TT1-0001-SM-6WBTZ.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TT1-0001-SM-6WBTZ.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TT1-0001-SM-6WBTZ.crai	11e1d96e4f7c34ff688ffc90e1b58678	51672088931	30a4f6f0144fd3860ffb0b540b5769d7
GTEX-11TTK-0002-SM-6WBTX	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TTK-0002-SM-6WBTX.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TTK-0002-SM-6WBTX.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TTK-0002-SM-6WBTX.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TTK-0002-SM-6WBTX.crai	8f0b5f6168efc55077384b1d484551a4	53426404725	393c1f8e3fa1cccad6f1cdd7584b5d1b
GTEX-11TUW-0004-SM-6WBU1	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TUW-0004-SM-6WBU1.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11TUW-0004-SM-6WBU1.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TUW-0004-SM-6WBU1.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11TUW-0004-SM-6WBU1.crai	52092abe689531d5f5aaa9d1bf0ff85e	46485677738	34cf2efe65d4e66e8dd49fb2aa02864a
GTEX-11UD1-0001-SM-6WBTY	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11UD1-0001-SM-6WBTY.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11UD1-0001-SM-6WBTY.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11UD1-0001-SM-6WBTY.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11UD1-0001-SM-6WBTY.crai	ea330751fc152fd32ce167f28c00c267	55307863148	e34bacab085fb120a3f0eee0b6f5c8c2
GTEX-11UD2-0001-SM-6WBTW	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11UD2-0001-SM-6WBTW.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11UD2-0001-SM-6WBTW.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11UD2-0001-SM-6WBTW.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11UD2-0001-SM-6WBTW.crai	e4b3416213944777ec504a4eb0b1d8d9	51302070915	c84cb2cdf10dae2c496e4e51438ddef1
GTEX-11VI4-0003-SM-6WBUJ	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11VI4-0003-SM-6WBUJ.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11VI4-0003-SM-6WBUJ.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11VI4-0003-SM-6WBUJ.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11VI4-0003-SM-6WBUJ.crai	fbffa70a4ca9015a66c8ff01979765e5	50924266653	2469cf6bfa6188d11393fda96bbcf5dc
